word,meaning,source,,word_type,gender,direct translation
lóda,to be pregnant wearily [lawida=to be pregnant]     {orig},orig,,"sex, neg emotion",fem,no
lohil,to watch internally     {new},new,,,,no
lol,"a feeling of: community, togetherness, sisterhood, fellowship, belonging, cohesiveness; a group of people gathered with the intention of creating togetherness, sisterhood, fellowship, belonging, community, cohesiveness; different from a city or a general gathering of people because “lol” implies an intention to create a feeling of cohesiveness within the group. (see lolh)     {new}",new,,"relationship, pos emotion",,no
loláad,"to perceive internally, to feel a mental state or emotion, perceive with the heart (metaphorically). Passive internal feeling. “I feel sad.” (see náril, active internal feeling)     {orig}",orig,,neut emotion,,no
loláad lhohoth,"to be ashamed, to perceive one’s shame [loláad=to perceive internally + lhoho=shame + -th =suffix for object]     {orig}",orig,,neg emotion,,no
loláad óoyanan,"to sense, be aware of     {Grammar Updates}",new,,personal action,,
lolehoth,"a community place, building and grounds of a place intended to nurture the needs of the people who belong [lol=community + (e)hoth=place]     {new}",new,,"place, relationship",,no
lolh,"an oppressive “lol”; a negative sense of community, togetherness, sisterhood, fellowship, belonging, cohesiveness; you “belong” but to your severe detriment, for instance being forced to give up valued aspects of yourself to be accepted by the community. (see lol)     {new}",new,,"relationship, neg emotion",,no
lolin,"to gather, assemble, gathering, assembly (said of people)     {orig}",orig,,,,
lolin,rocking chair     {orig},orig,,object,,
lom,song     {orig},orig,,,,
lometha,song that belongs to her by birth [lom=song + -(e)tha=possessive by reason of birth],blank,,,fem,no
lóolo,to be slow     {orig},orig,,,,
lóothi,to be black and white     {orig},orig,,color,,
lóoyo,"to taste. Active tasting. “I am tasting the batter.” (see láad óoyonan, passive taste)     {Grammar Updates}",new,,sense,,no
lorolo,thunder     {orig},orig,,nature,,
losh,"money, credit     {orig}",orig,,,,
loshá,banker [losh=money + -á=suffix for doer]     {orig},orig,,person,,
loshebelid,bank (financial) [losh=money + belid=house]     {orig},orig,,place,,
loshehalid,auction,blank,,place,,
loth,information     {orig},orig,,,,
lothel,to know (not of people) [loth=information]     {orig},orig,,,,no
lowitheláad,"to feel, as if directly, another’s feelings (pain/joy/ anger/grief/surprise/ etc.); to be empathetic, without the separation implied in empathy [lo + with=person + láad=to perceive]     {orig}",orig,,neut emotion,,no
loyada,"to yearn, yearn for     {new}",new,,neut emotion,,
loyan,intuition     {new},new,,neut emotion,,
loyo,to be black     {orig},orig,,color,,
loyodalatham,blackberry [loyo=black + dala=plant + tham=circle],blank,,food,,
loyu,to be dark-colored     {AH},new,,color,,
lu,"please, polite phrase     {orig}",orig,,social,,
lub,"poultry, fowl (chicken, duck, goose)     {orig}",orig,,food,,
luben,map     {orig},orig,,object,,
lud,debt     {orig},orig,,,,
ludá,"debtor, person in debt",blank,,person,,
ludi,to be female [lu+di]     {SH},new,,,fem,
ludihá,female (noun)     {SH},new,,,fem,
luhili,blood     {new},new,,body,,
lul,vagina     {orig},orig,,sex,fem,
lula,to be purple     {orig},orig,,color,,
lulin,cradle [lul=vagina] [lul+lin]     {orig},orig,,object,,
lush,mystery     {orig},orig,,,,
Lushede,"deity, goddess (informal address)     {orig}",orig,,spirituality,fem,
lushimá,"lesbian, homosexual female     {SH}",new,,person,fem,
luth,to rock (of babies)     {orig},orig,,personal action,,no
lúul,guardian     {orig},orig,,"relationship, person",,
luwili,birth-blood     {SH},new,,"sex, body",fem,no
lha,sin [lh=negative connotation]     {orig},orig,,spirituality,,
lhada,"to laugh at; to scorn; to ridicule, scorn, ridicule [lh- =pejorative + ada=laugh]     {AB}",new,,,,
lheb,"enemy, with pejorative overtones [leb=enemy + lh=negative overtones]     {orig}",orig,,person,,no
lhebe,hatred     {Grammar Updates: MLM},new,,neg emotion,,
lhebe,"she/it/he: pronoun, 3rd person, singular, despised",blank,,grammar,,
lheben,"they: pronoun, 3rd person, many, despised",blank,,grammar,,
lhebezh,"they: pronoun, 3rd person, several, despised",blank,,grammar,,
lhed,discord in the home [lh=negative connotation]     {orig},orig,,"relationship, neg emotion",,no
lhele,"I: pronoun, 1st person, singular, despised",blank,,grammar,,
lhelen,"we: pronoun, 1st person, many, despised",blank,,grammar,,
lhelezh,"we: pronoun, 1st person, several, despised",blank,,grammar,,
lhene,"you: pronoun, 2nd person, singular, despised",blank,,grammar,,
lhenen,"you: pronoun, 2nd person, many, despised",blank,,grammar,,
lhenezh,"you: pronoun, 2nd person, several, despised",blank,,grammar,,
lhezhub,noxious insect [lh=negative connotation + zhub=insect]     {orig},orig,,animal,,no
lhobom,to rape     {Grammar Updates: MLM},new,,,,
lhoho,shame [lh=negative connotation]     {orig},orig,,neg emotion,,
lhu,"poison, to poison [lh=negative connotation]     {orig}",orig,,,,
lhud,"debt, with pejorative overtones [lh=negative connotation + lud=debt]     {orig}",orig,,,,no
ma,"to hear, to listen, to listen to, to hear. Active hearing. “I am listening for the buzzer.” (see láad oyunan, passive hear)     {orig}",orig,,sense,,
máa,egg     {orig},orig,,food,,
máan,salt     {orig},orig,,food,,
máanan,to be salty,blank,,food,,
mad,to hide an emotion or aspect of self (<mirror image of dam>)     {JP},new,,neg emotion,,no
madoni,to plant     {SH},new,,plant,,
maha,desire (sexual)     {orig},orig,,"sex, pos emotion",,
mahanal,"desiringly, lustfully (NOT a negative term) [maha=desire (sexual) + -nal=suffix for manner]     {orig}",orig,,"sex, pos emotion",,
mahela,creative urge     {SH},new,,pos emotion,,
mahin,cooking pot     {orig},orig,,object,,
mahina,flower     {orig},orig,,plant,,
mal,nut-tree     {orig},orig,,plant,,
malu,salt marsh     {SH},new,,place,,
mar,"absence, to be absent     {SH}",new,,,,
maradal,"hole, gap [mar=absence + radal=nothing]     {SH}",new,,,,
mari,island     {orig},orig,,place,,
math,building     {orig},orig,,place,,
mathom,"knick-knack, useless object (Tolkien loanword)     {SH}",new,,object,,
mathul,"mother (intimate informal term, but not Mama) [ma=to listen + thul=parent] (see: ethul, shathul)     {orig}",orig,,"relationship, person",,
mazh,"car, automobile     {orig}",orig,,object,,
meda,vegetable     {orig},orig,,food,,
medalayun,carrot [meda=vegetable + layun=orange]     {orig},orig,,food,,
meén,sugar     {CH},new,,food,,
meénan,to be sweet     {orig},orig,,food,,
meénaná,sweetener [meénan=to be sweet + -á=suffix for doer]     {CH},new,,food,,
méesh,pleasure (not said of sexual pleasure),blank,,pos emotion,,no
méeshim,pleasure (sexual),blank,,"sex, pos emotion",,no
méhéna,"compassion despite negative circumstances [ména, mína, móna, múna=compassion]     {orig}",orig,,pos emotion,,no
mel,paper     {orig},orig,,material,,
mela,"ocean, sea     {orig}",orig,,"nature, place",,
meláanin,birch tree [mel=paper + yáanin=tree]     {SH},new,,plant,,
melahá,ocean-dweller [mela=ocean + -á=suffix for doer]     {orig},orig,,person,,
meloth,evidence [me-=plural marker + loth=information]     {orig},orig,,,,
memazh,train [me-=plural marker + mazh=car]     {orig},orig,,object,,
ména,"compassion for good reasons [méhéna, mína, móna, múna=compassion]     {orig}",orig,,pos emotion,,no
menedebe,to be many [me-=plural marker + nedebe=to be few] (never change form or add case marker)     {orig},orig,,grammar,,no
menedebenil,among (many) [menedebe=many + nil=inside]     {AB},new,,grammar,,
menedebosh,"bundle of sticks, faggot (noun) [me- =plural + nedebosh=stick]     {AB}",new,,object,,
merod,"billion (1,000,000,000) [me-=plural marker + rod=million (1,000,000)]     {orig}",orig,,number,,
mesh,"across, to be across     {orig}",orig,,grammar,,
methid,rope [me-=plural marker + thid=string]     {CH},new,,object,,
méwith,crowd [me-=plural marker + with=person]     {orig},orig,,,,
mezh,powder     {CH},new,,,,
mezhel,to grind [mezh=powder + el=to create]     {CH},new,,,,
mi,"leaf, as in leaf of a tree, not a page in a book     {orig}",orig,,plant,,no
mid,"creature, any animal     {orig}",orig,,animal,,
midemath,stable [mid=creature + math=building]     {orig},orig,,place,,
miháabe,page (of book) [mi=leaf + (h)áabe=book]     {new},new,,object,,no
mihí,to be small (area)     {AB},new,,,,
míi,"amazement, to be amazed     {orig}",orig,,pos emotion,,
míili,radiance [míi=to be amazed]     {orig},orig,,pos emotion,,
míirile,awed silence [míi=amazed + rile=silence]     {TB},new,,neut emotion,,no
mime,to ask     {orig},orig,,personal action,,
miméne,"coverings, bedding     {orig}",orig,,object,,
min,eating utensil     {orig},orig,,"object, food",,
mina,to move     {orig},orig,,personal action,,
mína,"compassion for no reason [ména, méhéna, móna, múna=compassion]     {orig}",orig,,pos emotion,,no
minidibi,et cetera     {new},new,,grammar,,
miwith,"town, city [with=person]     {orig}",orig,,place,,
miwithá,city-dweller [miwith=city + -á=suffix for doer]     {orig},orig,,person,,
mo,furniture     {Grammar Updates},new,,object,,
modem,modem [loanword]     {orig},orig,,object,,
modi,to be ugly     {orig},orig,,,,
móna,"compassion for foolish reasons [méhéna, ména, mína, múna=compassion]     {orig}",orig,,neg emotion,,no
mud,mushroom     {orig},orig,,food,,
muda,pig     {orig},orig,,animal,,
mudahéthe,"pig-clean, the state of your teenager’s room, to be used when teenager says “it’s clean, mom!”, and mom responds “well, yeah, pig-clean!” (with apologies to poor slandered pigs, who we know are very clean animals) [muda=pig + (h)éthe=clean] (See also: éthe, háawithéthe, huhéthe, onidahéthe, thóohéthe)     {new}",new,,,,no
muhum,scissors [(hum+<mirror image>)]     {SH},new,,object,,
múna,"compassion for bad reasons [méhéna, ména, mína, móna=compassion]     {orig}",orig,,neg emotion,,no
na,"you: pronoun, 2nd person, singular, beloved",blank,,grammar,,
náal,night     {orig},orig,,time,,
nab,bramble     {orig},orig,,plant,,
náheb,to decrease [ná+heb]     {EB},new,,,,
nahin,to become [na=to start to + in=exist]     {new},new,,,,
nan,"you: pronoun, 2nd person, many, beloved",blank,,grammar,,
nanáal,sunset [na=to start to + náal=night]     {SH},new,,time,,
náraheb,to increase [ná+raheb]     {EB},new,,,,
náril,"to feel internally, to fix your internal attention actively upon something, to-continue-to-present-time. Active internal feeling. “I am feeling angry.” (see loláad, passive internal feeling)",blank,,neut emotion,,no
nárilim,to quest internally [náril=to feel + im=travel]     {SH},new,,neut emotion,,no
nasháal,"dawn, sunrise [na=to start to + sháal=day]     {SH}",new,,time,,
nath,price     {orig},orig,,,,
natha,"your: pronoun, 2nd person, singular, beloved, by reason of birth: [na=2nd person, singular, beloved + -tha=possessive by reason of birth]",blank,,grammar,,
nathá,buyer (personal),blank,,person,,
náwí,"grow, growth [ná- =continue to + wí=life]     {AB}",new,,,,
naya,"to take care of, nurture     {orig}",orig,,"relationship, personal action",,
nayadi,"blessing, general term (ath=benison)     {Grammar Updates}",new,,"spirituality, social",,
nayadithal,"encouragement, to encourage     {Grammar Updates}",new,,"personal action, relationship",,
nayahá,"care-giver, caretaker of people [naya=to take care of + -á=suffix for doer]     {orig}",orig,,person,,
nazh,"you: pronoun, 2nd person, severa,: beloved",blank,,grammar,,
ne,"you: pronoun, 2nd person, singular, neutral",blank,,grammar,,
neda,only [nede=one]     {orig},orig,,"grammar, number",,
nede,"one, (1)     {orig}",orig,,number,,
néde,to want     {orig},orig,,personal action,,
nedebe,"to be few, to be several [but not many] (never change form or add case marker)     {orig}",orig,,,,
nedebenil,among (few/several) [nedebe=few/several + nil=inside]     {AB},new,,grammar,,
nedebosh,stick (noun) [nede=one + bosh=wood]     {AB},new,,object,,
nedeloth,fact [nede=l + loth=information]     {orig},orig,,,,
nédeshub,intent [néde+shub]     {orig},orig,,neut emotion,,
nédeshubel,motivation [néde=to want + shub=to do + el=to make]     {SH},new,,neut emotion,,
nedethab,eleven (11) [nede=l + thab=l0]     {orig},orig,,number,,
nedeya,first [nede=one + -ya=suffix for time]     {AB&CH},new,,number,,
née,to be alien     {orig},orig,,,,
néehá,alien [née=to be alien + -á=suffix for doer]     {orig},orig,,person,,
nehena,"contentment despite negative circumstances [nena, nina, nona, nuna=contentment]     {orig}",orig,,pos emotion,,no
nem,pearl     {orig},orig,,object,,
nemeháalish,clitoris [nem+háalish]     {Grammar Updates: RB/BG},new,,"sex, body",fem,
nen,"you: pronoun, 2nd person, many, neutral",blank,,grammar,,
nena,"contentment for good reasons [nehena, nina, nona, nuna=contentment]     {orig}",orig,,pos emotion,,no
neneth,"you (many): pronoun, 2nd person, many, neutral, object [nen=you + -th=object marker]",blank,,grammar,,
neril,"wait, to wait     {SH}",new,,personal action,,
neth,"you: pronoun, 2nd person, singular, neutral, object [ne=you + -th=object marker]",blank,,grammar,,
neyóo,"yourself: pronoun, 2nd person, singular, neutral [ne=you + -yóo=reflexive marker]",blank,,grammar,,
neyóon,"yourselves (many): pronoun, 2nd person, many, neutral [nen=you,many + -yóo=reflexive marker]",blank,,grammar,,
neyóozh,"yourselves (several): pronoun, 2nd person, several, neutral [nezh=you,several + -yóo=reflexive marker]",blank,,grammar,,
nezh,"you: pronoun, 2nd person, several, neutral",blank,,grammar,,
nezheth,"you (several): pronoun. 2nd person, several, neutral, object [nezh=you + -th=object marker]",blank,,grammar,,
ni,"you: pronoun, 2nd person, singular, honored",blank,,grammar,,
ni,cup     {orig},orig,,object,,
nib,eight (8)     {orig},orig,,number,,
nibethab,eighteen (18) [nib=8 + thab=l0]     {orig},orig,,number,,
nil,inside     {orig},orig,,grammar,,
nilewod,tampon [nil+wod]     {new},new,,"sex, object",fem,
nime,"be willing, will (not future tense)     {AB}",new,,grammar,,
nin,"you: pronoun, 2nd person, many, honored",blank,,grammar,,
nin,"to cause, causal     {orig}",orig,,,,
nina,"contentment for no reason [nehena, nena, nona, nuna=contentment]     {orig}",orig,,pos emotion,,no
niná,the one responsible [nin=to cause + -á=suffix for doer]     {orig},orig,,person,,no
ninálh,the one to blame [niná=the one responsible + lh=negative connotation]     {orig},orig,,person,,no
nish,weed     {orig},orig,,plant,,
nith,frost     {orig},orig,,nature,,
nithedim,refrigerator [nith=frost + dim=container]     {orig},orig,,object,,
nithedimethóo,"refrigerator guest, a guest who shows up unannounced, comes on in & helps herself to whatever’s in the ‘fridge — and that’s a good thing [nithedim=refrigerator + (e)thóo=guest] (See also: thóo, áathethóo, shineshidethóo, widadithethóo)     {AB}",new,,person,,no
nizh,"you: pronoun, 2nd person, several, honored",blank,,grammar,,
nodal,edge (non-sharp)     {SH},new,,,,
nohadal,to hem [no-=to finish + (h)adal=sew]     {new},new,,clothes,,
nohodáath,rectum [no-=to finish + hodáath=bowels]     {SH},new,,body,,
nol,"on, upon     {Grammar Updates}",new,,grammar,,
noline,angel     {orig},orig,,"person, spirituality",,
nolob,"to become full [no-=prefix implies completion + lob=to fill up, to fill]     {orig}",orig,,spirituality,,no
nona,"contentment for foolish reasons [nehena, nena, nina, nuna=contentment]     {orig}",orig,,pos emotion,,no
nonede,"a, the final one, the last one [no-=prefix implies completion + nede=one, 1]     {orig}",orig,,,,
nóowid,to be big and little     {orig},orig,,,,no
nori,to send     {orig},orig,,,,
nosháad,"arrival, to arrive [no-=prefix implies completion + sháad=to come, go]     {orig}",orig,,,,
nótháa,"to cease to thrive [no-=prefix implies completion + tháa=to thrive, to do well]     {orig}",orig,,health,,no
nu,here     {orig},orig,,,,
nub,mode     {orig},orig,,,,
núháam,"to feel oneself cherish, cared for, nurtured by someone     {orig}",orig,,pos emotion,,no
nuna,"contentment for bad reasons [nehena, nena, nina, nona=contentment]     {orig}",orig,,neg emotion,,no
nuthul,orphan [thul=parent]     {orig},orig,,"relationship, person",,
núu,there [nu=here]     {orig},orig,,grammar,,
o,around     {orig},orig,,grammar,,
oba,body     {orig},orig,,body,,
obadom,to body-remember (like remembering how to ride a bicycle) [oba=body + dom=remember]     {new},new,,personal action,,no
obahéda,bodily secretion [oba+héda]     {JP},new,,body,,no
obahéthe,"a clean body, to clean ones body [oba=body + (h)éthe =clean] (see obahéthewod, obahéthethib)     {new}",new,,body,,no
obahéthethib,"shower, to take a shower [oba=body + (h)éthe=clean + thib=stand] (see obahéthe, obahéthewod)     {new}",new,,,,
obahéthewod,"bath, to take a bath, bathe [oba=body + (h)éthe=clean + wod=sit] (see obahéthe, obahéthethib)     {new}",new,,,,
obe,through     {orig},orig,,grammar,,
obed,"cause, reason     {orig}",orig,,,,
obedi,"to learn a skill, to body-learn [oba=body + bedi=learn]     {SH}",new,,personal action,,no
obée,during (I work during the night. -> Bíi hal le náaleya obée wa.)     {orig},orig,,"grammar, time",,
obeham,altar     {new},new,,spirituality,,
obeth,neighbor     {orig},orig,,"relationship, person",,
obeyal,gold     {orig},orig,,"material, color",,
obom,condom     {new},new,,"sex, object",,
od,cloth     {orig},orig,,material,,
oda,arm (the body part)     {orig},orig,,body,,
odá,weaver [od+á]     {orig},orig,,person,,
odama,"lip, lips (of the mouth)     {SH}",new,,body,,
odámála,"to caress with the lips, kiss [odama=lips + lámála=caress]     {SH}",new,,sex,,no
odayáaninetha,branch [oda=arm + yáanin=tree + -tha=suffix for possession by reason of birth]     {orig},orig,,plant,,
odith,tongue [o=around + dith=voice]     {SH},new,,body,,
odithámála,to caress with the tongue [odith=tangue + lámála=caress]     {new},new,,sex,,no
odobeyal,cloth-of-gold [od =cloth + obeyal=gold]     {AB},new,,material,,no
ódon,cheese     {orig},orig,,food,,
oham,love for that which is holy     {orig},orig,,pos emotion,,no
ohamedi,"prayer [oham=love for that which is holy + di=to say, speak]     {orig}",orig,,spirituality,,
ohehena,"respect despite negative circumstances [ohena, ohina, ohona, ohuna=respect]     {orig}",orig,,pos emotion,,no
ohena,"respect for good reasons [ohehena, ohina, ohona, ohuna=respect]     {orig}",orig,,pos emotion,,no
ohina,respect for no reason     {orig},orig,,pos emotion,,no
Oho,you’re welcome (polite phrase)     {orig},orig,,social,,
ohona,"respect for foolish reasons [ohehena, ohena, ohina, ohuna=respect]     {orig}",orig,,neg emotion,,no
ohuna,"respect for bad reasons [ohehena, ohena, ohina, ohona=respect]     {orig}",orig,,neg emotion,,no
ol,to store     {orig},orig,,personal action,,
olanin,to practice (ulanin=to study)     {SH},new,,personal action,,
olim,"paradise, heaven     {orig}",orig,,"place, spirituality",,
olimeha,in heaven [olim=heaven + -(e)ha=place case marker],blank,,"place, spirituality",,
olin,"forest, woods     {orig}",orig,,place,,
olob,"blow, strike, hit, trauma     {orig}",orig,,,,
olobeshara,depression as result of major trauma [olob=trauma + (e)shara=grief]     {DK},new,,neg emotion,,no
oloth,skill     {SH},new,,,,
olowod,group     {orig},orig,,relationship,,
om,to teach     {orig},orig,,personal action,,
oma,hand     {orig},orig,,body,,
omá,teacher [om=to teach + -á=suffix for doer]     {orig},orig,,person,,
omamid,ape [oma=hand + mid-creature]     {orig},orig,,animal,,
omid,horse [o=around + mid=creature]     {orig},orig,,animal,,
on,head (body part)     {orig},orig,,body,,
ona,face (the body part)     {orig},orig,,body,,
onabel,"mask, to mask     {Grammar Updates}",new,,,,
onelal,cream [on=head + lal=milk]     {orig},orig,,food,,
onethud,horn; antler (noun) [on=head + (e)thud=bone]     {AB},new,,animal,,
onida,family     {orig},orig,,relationship,,
onidahéthe,"family-clean, the usual state of affairs [onida=family + (h)éthe=clean] (See also: éthe, háawithéthe, huhéthe, mudahéthe, thóohéthe)     {CH}",new,,,,no
onin,nurse     {orig},orig,,person,,
oób,to jump     {orig},orig,,personal action,,
óob,oven     {orig},orig,,furniture,,
óoba,leg     {orig},orig,,body,,
óobe,along,blank,,grammar,,
oódóo,bridge     {orig},orig,,place,,
óoha,"to be tired, weary     {orig}",orig,,neg emotion,,
óol,moon     {orig},orig,,nature,,
óoletham,"coven, worship circle [óol=moon + tham=circle]     {CF}",new,,spirituality,,no
óolewil,menstrual blood [óol=moon + wili=river]     {SH},new,,sex,fem,
óolewod,sanitary napkin     {SH},new,,sex,fem,
óoloó,moth (butterfly=áalaá pattern using moon=óol)     {SH},new,,animal,,
óom,to mourn     {orig},orig,,,,
óoma,foot (the body part)     {orig},orig,,body,,
óomasháad,walk; go on/by foot [óoma=foot + sháad=go/come]     {AB},new,,personal action,,
óomi,shoe [óoma=foot]     {orig},orig,,clothes,,
óosholan,alone with grief,blank,,neg emotion,,no
óotha,soul     {orig},orig,,spirituality,,
óothadama,"rapport; also, to experience rapport (AH) [óotha+dama]",blank,,relationship,,
óothanuthul,"spiritual orphanhood, being utterly bereft of a spiritual community [óotha=soul + nuthul=orphan]     {orig}",orig,,neg emotion,,no
óothasháal,"regular self-time (daily, weekly, or monthly)     {SH}",new,,time,,no
óowa,fire     {orig},orig,,,,
óowáanin,redwood [óowa=fire + yáanin=tree]     {SH},new,,plant,,
óowabo,volcano [óowa=fire + bo=mountain]     {AB},new,,place,,
óowabobin,volcanic crater [óowabo=volcano + bin=bowl]     {AB},new,,place,,
óowamid,dragon [óowa=fire + mid=creature],blank,,animal,,
óoya,heart     {orig},orig,,body,,
óoyaáláan,"pulse, heartbeat [óoya=heart + aáláan=wave]     {SH}",new,,body,,
óoyaha oma,palm of the hand     {Grammar Updates},new,,body,,
óoyahonetha,mind [óoya=heart + on=head + -tha=suffix for possession by reason of birth]     {orig},orig,,,,
óoyasháal,time of greatest energy each day [óoya=heart + sháal=day]     {SH},new,,time,,no
óoyo,mouth,blank,,body,,
óozh,comset     {orig},orig,,object,,
óozhá,comset technician [óozh=comset + -(h)á=suffix for doer],blank,,person,,
osh,to weave,blank,,personal action,,
osháana,"to menstruate, menstrual, menstruation     {orig}",orig,,sex,fem,
oshetham,wreath [osh=weave + (e)tham=circle],blank,,object,,
oth,to be important     {orig},orig,,,,
Othe,"Amen, Selah, end of prayer phrase     {orig}",orig,,spirituality,,
othel,"to be blessed, holy     {orig}",orig,,spirituality,,
othelehoth,blessed place [othel=blessed + (e)hoth=place]     {new},new,,"spirituality, place",,no
owa,"to be warm, hot     {orig}",orig,,,,
owáano,therefore     {orig},orig,,grammar,,
owahúuzh,blanket [owa=to be warm + úuzh=sheet bedding]     {orig},orig,,"object, clothes",,
owe,"dress, gown     {orig}",orig,,clothes,fem,
owehid,"men’s garment, men’s clothing [owe=dress + -id=suffix for male]     {orig}",orig,,clothes,masc,
owo,labia     {SH},new,,sex,fem,
oya,"skin, flesh     {orig}",orig,,body,,
oyabod,"outline, silhouette [oya=skin + bod=line]     {SH}",new,,,,
oyada,to itch     {new},new,,personal action,,
oyi,eye     {orig},orig,,body,,
oyimahina,violet     {orig},orig,,"color, plant",,
oyo,nose,blank,,body,,
oyu,ear     {orig},orig,,body,,
ozh,"dream, to dreav     {orig}",orig,,personal action,,
ozhi,melon     {orig},orig,,food,,
ra,"no, not (interjection); To make a sentence negative, put “ra” right after the verb.     {orig}",orig,,"social, grammar",,
ráahedethi,"to be unable to feel lowitheláad, to be empathically impaired [ra=non- + edethi=to share]     {orig}",orig,,neg emotion,,no
ráahedethilh,to be unwilling to feel lowitheláad; to be deliberately empathically impaired [ráahedethi=to be unable to feel lowitheláad + lh=negative connotation]     {orig},orig,,neg emotion,,no
ráalehale,to be musically or euphonically deprived     {orig},orig,,neg emotion,,no
ráatham,command room (for war)     {orig},orig,,fight,,
rabalh,"to stink, reek [ra=non- + aba=to be fragrant + lh=negative connotation]     {orig}",orig,,sense,,
rabalin,to be young [ra=non- + balin=to be old]     {orig},orig,,,,
raban,to take away from [ra=non- + ban=to give]     {orig},orig,,,,
rabinilh,gift with strings attached [ra=non- + bini=gift + lh=negative connotation]     {orig},orig,,object,,no
rabo,"plain, flat plain [ra=non- + bo=mountain]     {orig}",orig,,place,,
rabobosh,floor [ra=non- + bo=mountain + bosh=wood]     {orig},orig,,place,,
rabohí,to be long (length)     {AB},new,,,,
raboósh,"straight, to be straight [ra-=not + bóosh=curved]     {AB}",new,,,,
rad,node     {orig},orig,,object,,
radal,nothing [ra=non- + dal=thing]     {orig},orig,,grammar,,
radama,"to non-touch, avoiding touch, to actively refrain from touching [ra=non- + dama=to touch]     {orig}",orig,,,,no
radamalh,to non-touch with evil intent [radama=to non-touch + lh=negative connotation]     {orig},orig,,,,no
radazh,"to be hard, firm     {orig}",orig,,,,
radéela,"non-garden, glitz without beauty, a place that has much flash and glitter and ornament, but no beauty [ra=non- + déela=garden]     {orig}",orig,,place,,no
raden,without     {orig},orig,,grammar,,
radena,unfriendliness for good reasons [ra=non- + dena=friendliness for good reasons]     {orig},orig,,neg emotion,,no
radezh,difficult,blank,,neg emotion,,
radiídin,"non-holiday, holiday more work that it’s worth, a time allegedly a holiday but actually so much a burden because of work and preparations that it is a dreaded occasion; especially when there are too many guests and none of them help     {orig}",orig,,time,,no
radimil,"plain, simple, unadorned [ra- =not + dimil=lavish]     {AB}",new,,,,
radina,unfriendliness for no reason [ra=non- + dina= friendliness for no reason]     {orig},orig,,neg emotion,,no
rado,to be weak [ra=non- + do=to be strong]     {orig},orig,,,,
radodelh,"non-interface, a situation which has not one single point in common on which to base interaction, often used of personal relationships [ra=non- + dodel=interface + lh= negative connotation]     {orig}",orig,,relationship,,no
radona,unfriendliness for foolish reasons [ra=non- + dona=friendliness for foolish reasons]     {orig},orig,,neg emotion,,no
raduna,unfriendliness for bad reasons [ra=non- + duna=friendliness for bad reasons]     {orig},orig,,neg emotion,,no
raduth,"to non-use, to deliberately deprive someone of any useful function in the world, as in enforced retirement or when a human being is kept as a plaything or a pet [ra=non- + duth=to use]     {orig}",orig,,,,no
radutha,"to not-heal, medicine or treatment which does not heal [ra=not + dutha=heal]     {SH}",new,,,,no
raduthahá,not-healer     {SH},new,,person,,no
raduthahálh,non-healer with evil intent     {SH},new,,person,,no
raháana,insomnia [ra=non- + áana=sleep]     {orig},orig,,health,,
rahabelhid,"to exile [ra=non- + habelid=to live, inhabit + lh=negative connotation]     {orig}",orig,,,,
rahabelhidá,"an exile, outcast [rahabelhid=to exile + -á=suffix for doer]     {orig}",orig,,person,,
rahadihad,never [ra=non- + hadihad=always]     {orig},orig,,"grammar, time",,
rahahí,to be temporally extensive; to be long-lived (time)     {AB},new,,,,
rahana,junk food [ra=non- + ana=food]     {orig},orig,,food,,
rahana,famine [ra=non- + ana=food]     {orig},orig,,food,,
rahath,never     {Grammar Updates},new,,"grammar, time",,
raheb,"to hoard, a hoard [ra=non- + eb=to buy, sell]     {orig}",orig,,,,
raheb,up [ra=non- + heb=down]     {orig},orig,,"place, grammar",,
rahed,"gadget, useless non-tool [ra=non- + ed=tool]     {orig}",orig,,object,,no
rahéeda,"accursed, unholy, to be accursed, to be unholy [ra=non- + héeda=to be sacred]     {orig}",orig,,spirituality,,
rahéedan,to mistranslate [ra=non- + héedan=to translate]     {orig},orig,,,,
rahéelhedan,to deliberately mistranslate with evil intent [rahéedan=to mistranslate + lh=give negative connotation]     {orig},orig,,,,no
rahéena,"non-heart-sibling, one so entirely incompatible with another that there is no hope of ever achieving any kind of understanding or anything more than a truce, and no hope of ever making such a one understand why; (does not mean “enemy”) [ra=non- + héena =sibling of the heart]     {orig}",orig,,relationship,,no
rahen,"to misunderstand, misunderstanding [ra=not + (h)en=understand]     {new}",new,,,,
rahesh,to be irresponsible [ra=non- + ahesh=to be responsible]     {orig},orig,,relationship,,
rahéthe,to be dirty [ra=non- + éthe=to be clean]     {orig},orig,,,,
rahib,"non-crime, a terrible thing done because it’s necessary but for which there is no blame because there is no choice (never an accident); [ra=non- + ib=crime]     {orig}",orig,,,,no
rahil,"to non-attend, ignore, withhold attention [ra=non- + il=pay attention to]     {orig}",orig,,,,
rahilh,"to non-attend, ignore, withhold attention with evil intent [rahil=to withhold attention + lh= gives negative connotation]     {orig}",orig,,,,no
rahith,darkness [ra=non- + ith=light]     {orig},orig,,,,
rahíya,"to be big, large [ra=non- + híya=to be small]     {orig}",orig,,,,
rahíyamesh,wide [ra- =not + híyamesh=narrow]     {AB},new,,,,
rahobeth,"non-neighbor, one who lives nearby but does not fulfill a neighbor’s role (not necessarily pejorative) [obeth=neighbor]     {orig}",orig,,relationship,,no
rahobeyal,fool’s gold [ra=non- + obeyal=gold]     {orig},orig,,material,,
